Manuf,Vendor Part No,Description,List Price
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support, 3 year",1100.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 3 year, Renewal",510.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes VM-50 and US Government Premium Support, 5 year",1350.0000
Palo Alto Networks,PAN-VM-50-PERP-BASC-PREMUSG-5YR-R,"Palo Alto Networks Perpetual Bundle (Basic) for VM-Series that includes US Government Premium Support, 5 year, Renewal",740.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREM-1YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support",1000.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREM-1YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 1
year, Renewal",280.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREM-3YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support, 3 year",1350.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREM-3YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 3
year, Renewal",670.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREM-5YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and Premium
Support, 5 year",1800.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREM-5YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and Premium Support, 5
year, Renewal",1120.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREMUSG-1YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and US Government
Premium Support",1000.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREMUSG-1YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 1 year, Renewal",300.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREMUSG-3YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and US Government
Premium Support, 3 year",1400.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREMUSG-3YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 3 year, Renewal",720.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREMUSG-5YR,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes VM-50, Threat Prevention subscription, and US Government
Premium Support, 5 year",1900.0000
Palo Alto Networks,PAN-VM-50-PERP-BND1-PREMUSG-5YR-R,"Palo Alto Networks Perpetual Bundle (BND1) for VM-Series that includes Threat Prevention subscription, and US Government
Premium Support, 5 year, Renewal",1200.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREM-1YR,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes VM-50, Threat Prevention, PANDB URL filtering, Global
Protect and WildFire subscriptions, and Premium Support",1200.0000
Palo Alto Networks,PAN-VM-50-PERP-BND2-PREM-1YR-R,"Palo Alto Networks Perpetual Bundle (BND2) for VM-Series that includes Threat Prevention, PANDB URL filtering, Global Protect and
WildFire subscriptions, and Premium Support, 1 year, Renewal",490.0000
